id,creation_date,post_id,vote_type_id
56812154,11/6/2013 0:00:00,19805269,15
238828717,9/19/2021 0:00:00,69228341,15
239072389,9/23/2021 0:00:00,69297949,11
135809519,4/2/2017 0:00:00,43127957,15
135967926,4/4/2017 0:00:00,43210238,15
135968105,4/4/2017 0:00:00,43212325,15
232262901,5/23/2021 0:00:00,67592525,15
232624424,5/28/2021 0:00:00,67661092,15
232650602,5/29/2021 0:00:00,67642871,9
232700363,5/30/2021 0:00:00,67546513,15
232916336,6/3/2021 0:00:00,67630558,8
43219858,3/14/2013 0:00:00,15414459,15
43679834,3/22/2013 0:00:00,15561268,15
43733102,3/22/2013 0:00:00,15578538,11
44235473,3/31/2013 0:00:00,15726877,15
36422544,11/14/2012 0:00:00,13372715,15
37269478,11/29/2012 0:00:00,13547085,8
90661760,6/5/2015 0:00:00,30665068,11
90997128,6/10/2015 0:00:00,30760239,12
225850016,2/5/2021 0:00:00,65974817,9
225901468,2/6/2021 0:00:00,66081903,11
251560222,5/18/2022 0:00:00,72291568,12
251573027,5/18/2022 0:00:00,72294709,12
251794596,5/23/2022 0:00:00,72249328,9
97037569,9/9/2015 0:00:00,32484841,15
97596243,9/17/2015 0:00:00,32584235,15
129010045,12/26/2016 0:00:00,41304787,8
129366717,1/2/2017 0:00:00,41423017,15
129676999,1/6/2017 0:00:00,41503259,15
174824256,11/8/2018 0:00:00,53213955,11
84137506,2/24/2015 0:00:00,28703714,11
84192928,2/25/2015 0:00:00,28716452,15
84465053,3/2/2015 0:00:00,28773169,8
63770932,3/4/2014 0:00:00,22156871,15
63802485,3/4/2014 0:00:00,22102579,8
64188794,3/10/2014 0:00:00,21558010,15
22658240,1/1/2012 0:00:00,8691594,9
22978406,1/10/2012 0:00:00,8804967,15
168471371,8/1/2018 0:00:00,51634156,11
14886855,5/10/2011 0:00:00,5897116,15
14943317,5/11/2011 0:00:00,5905868,8
15477698,5/29/2011 0:00:00,6144944,9
200161045,12/21/2019 0:00:00,14954531,15
200457678,12/28/2019 0:00:00,59514826,12
29299294,6/15/2012 0:00:00,2942882,15
29319765,6/16/2012 0:00:00,11063844,11
29391882,6/18/2012 0:00:00,11078270,15
187734280,5/29/2019 0:00:00,56324146,8
77603403,10/30/2014 0:00:00,26434856,8
109797706,3/16/2016 0:00:00,36038986,15
110473938,3/26/2016 0:00:00,36203644,11
149184197,10/15/2017 0:00:00,42818736,8
142140001,7/5/2017 0:00:00,44742467,9
142829324,7/14/2017 0:00:00,45105055,15
219511545,10/22/2020 0:00:00,64435125,11
219654396,10/24/2020 0:00:00,64411818,9
219660340,10/24/2020 0:00:00,64517764,11
219747241,10/26/2020 0:00:00,48966096,15
219870392,10/28/2020 0:00:00,64169828,9
193262603,8/29/2019 0:00:00,57708804,11
206051048,3/31/2020 0:00:00,60953449,11
206283765,4/3/2020 0:00:00,60896754,8
246264388,2/4/2022 0:00:00,70990107,12
246278502,2/4/2022 0:00:00,70941232,15
246295857,2/5/2022 0:00:00,70925710,9
57842142,11/23/2013 0:00:00,20164651,11
58287210,12/2/2013 0:00:00,20312223,11
58743704,12/9/2013 0:00:00,20482507,11
1549809,2/3/2009 0:00:00,487436,9
240294106,10/15/2021 0:00:00,69587023,12
136588255,4/13/2017 0:00:00,43356482,15
233252221,6/9/2021 0:00:00,44768866,15
233498583,6/13/2021 0:00:00,67906406,11
245481362,1/21/2022 0:00:00,70764505,8
56811358,11/6/2013 0:00:00,19477537,15
57512906,11/18/2013 0:00:00,19844344,8
238739064,9/17/2021 0:00:00,69219186,15
238922890,9/21/2021 0:00:00,64793218,15
135565697,3/29/2017 0:00:00,42859864,11
